ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204879,U12-010,2022AR12B,Valide,2,2,1,1,2,1,2,3,4,novote,2,3,11,3,5,2,1,1
204888,U12-008,2022AR12B,Valide,1,1,2,2,1,2,2,2,4,2,2,3,12,3,7,1,1,0
204894,U12-010,2022AR12B,Valide,2,2,3,2,1,1,1,2,3,3,2,2,12,3,6,3,0,0
204896,U12-008,2022AR12B,Valide,2,2,2,1,2,novote,novote,novote,3,2,1,novote,8,2,5,1,0,4
204902,U12-016,2022AR12A,Valide,1,1,novote,novote,1,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,8
204906,U12-005,2022AR12B,Valide,4,4,4,1,4,4,3,1,1,4,4,4,12,3,0,1,8,0
204911,U12-008,2022AR12B,Valide,1,1,4,2,1,1,3,4,1,2,3,2,12,5,3,2,2,0
204913,U12-003,2022AR12A,Valide,2,2,novote,novote,novote,2,2,3,3,3,2,3,9,0,5,4,0,3
204920,U12-010,2022AR12B,Nul,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,11
204933,U12-010,2022AR12B,Valide,novote,novote,novote,1,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,8
204939,U12-005,2022AR12B,Valide,3,3,1,1,3,1,4,4,4,3,1,3,12,4,0,5,3,0
204964,U12-005,2022AR12B,Valide,1,1,1,novote,2,novote,novote,novote,novote,novote,novote,novote,4,3,1,0,0,8
204966,U12-008,2022AR12A,Valide,2,3,1,1,1,1,1,2,2,2,2,1,12,6,5,1,0,0
204977,U12-008,2022AR12B,Valide,novote,novote,2,1,novote,2,novote,2,1,2,1,novote,7,3,4,0,0,5
204982,U12-005,2022AR12B,Valide,3,3,novote,2,1,3,1,1,1,3,4,1,11,5,1,4,1,1
204985,U12-010,2022AR12A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204990,U12-008,2022AR12A,Valide,2,1,3,1,2,4,novote,novote,novote,novote,novote,novote,6,2,2,1,1,6
204992,U12-010,2022AR12A,Valide,2,2,2,1,2,1,2,2,2,2,2,2,12,2,10,0,0,0
205001,U12-008,2022AR12A,Valide,novote,novote,2,novote,novote,1,2,novote,4,novote,1,novote,5,2,2,0,1,7
205011,U12-003,2022AR12A,Valide,3,3,1,3,3,3,1,3,4,3,3,3,12,2,0,9,1,0
205017,U12-003,2022AR12A,Valide,4,2,4,4,4,2,4,2,4,3,1,4,12,1,3,1,7,0
205032,U12-010,2022AR12B,Valide,2,2,1,2,1,2,1,novote,2,2,2,2,11,3,8,0,0,1
205034,U12-008,2022AR12A,Valide,3,2,2,3,2,2,3,3,3,3,3,3,12,0,4,8,0,0
205041,U12-016,2022AR12A,Valide,1,novote,1,1,1,novote,novote,novote,novote,1,novote,novote,5,5,0,0,0,7
