ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
142373,U18-011,2022AR18B,Valide,novote,novote,novote,novote,1,novote,novote,2,novote,novote,novote,2,1,4,2,2,0,0,9
142379,U18-003,2022AR18A,Valide,3,3,3,1,1,1,2,1,1,1,1,2,1,13,8,2,3,0,0
142394,U18-011,2022AR18B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,3,2,2,2,4,0,3,1,0,9
142439,U18-011,2022AR18B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,1,0,1,0,0,12
142442,U18-003,2022AR18A,Valide,1,novote,1,1,1,4,3,1,1,1,1,1,1,12,10,0,1,1,1
142443,U18-012,2022AR18B,Nul,1 2,4,1 2,2,1 2,1 2,2,2,2,novote,2,2,2,8,0,7,0,1,1
142469,U18-005,2022AR18A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,0,0,0,0
142481,U18-011,2022AR18B,Valide,novote,novote,novote,3,novote,novote,3,novote,novote,3,novote,novote,2,4,0,1,3,0,9
142501,U18-011,2022AR18B,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,12
142507,U18-003,2022AR18A,Valide,1,2,1,1,1,novote,2,2,2,novote,novote,1,1,10,6,4,0,0,3
142524,U18-011,2022AR18B,Valide,1,1,1,1,1,1,2,3,3,4,2,1,1,13,8,2,2,1,0
142529,U18-003,2022AR18A,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
142548,U18-003,2022AR18A,Valide,1,1,1,3,2,1,1,4,4,2,2,4,4,13,5,3,1,4,0
142551,U18-001,2022AR18B,Valide,1,1,2,2,1,1,1,2,3,3,3,novote,2,12,5,4,3,0,1
142552,U18-005,2022AR18A,Valide,novote,novote,4,novote,4,novote,novote,novote,novote,novote,novote,1,1,4,2,0,0,2,9
142566,U18-001,2022AR18B,Valide,1,4,1,1,1,1,2,1,1,4,1,4,1,13,9,1,0,3,0
142582,U18-004,2022AR18B,Valide,2,3,2,1,1,2,4,4,4,4,3,4,1,13,3,3,2,5,0
142587,U18-001,2022AR18B,Valide,novote,novote,1,1,novote,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,9
142592,U18-011,2022AR18B,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,0,0,0,0
142600,U18-011,2022AR18B,Valide,2,2,1,2,2,2,2,novote,novote,novote,2,novote,2,9,1,8,0,0,4
142601,U18-001,2022AR18B,Valide,novote,novote,novote,novote,novote,1,novote,novote,novote,1,1,1,1,5,5,0,0,0,8
142622,U18-011,2022AR18B,Valide,novote,3,1,3,2,1,2,2,2,1,1,2,1,12,5,5,2,0,1
142623,U18-003,2022AR18A,Valide,3,2,1,2,2,3,novote,2,2,2,2,novote,1,11,2,7,2,0,2
142625,U18-001,2022AR18B,Valide,1,3,2,3,1,2,3,4,3,4,2,2,1,13,3,4,4,2,0
142629,U18-005,2022AR18A,Valide,3,2,1,3,1,3,4,3,4,4,4,3,1,13,3,1,5,4,0
142644,U18-012,2022AR18B,Valide,1,1,1,1,1,1,2,1,1,2,1,2,1,13,10,3,0,0,0
142651,U18-003,2022AR18A,Valide,3,3,3,3,3,3,2,2,3,4,4,3,1,13,1,2,8,2,0
142667,U18-001,2022AR18B,Valide,1,1,1,1,1,1,1,1,2,1,3,1,1,13,11,1,1,0,0
142680,U18-011,2022AR18B,Valide,1,novote,1,novote,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
142705,U18-011,2022AR18B,Valide,1,1,1,1,1,1,1,1,3,1,1,novote,1,12,11,0,1,0,1
