ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
22538,U13-032,2022AR13A,Valide,1,1,4,1,1,1,1,1,1,1,10,9,0,0,1,0
22565,U13-032,2022AR13A,Valide,2,1,2,2,1,1,3,3,1,2,10,4,4,2,0,0
22566,U13-021,2022AR13B,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
22571,U13-047,2022AR13A,Valide,1,2,3,2,1,2,2,2,3,3,10,2,5,3,0,0
22616,U13-021,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
22619,U13-035,2022AR13A,Nul,novote,novote,novote,novote,2,2,novote,novote,novote,novote,2,0,2,0,0,8
22663,U13-047,2022AR13A,Valide,1,1,2,2,1,1,2,1,1,2,10,6,4,0,0,0
22678,U13-021,2022AR13B,Valide,novote,novote,4,1,2,novote,2,novote,novote,novote,4,1,2,0,1,6
22703,U13-021,2022AR13B,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
22746,U13-032,2022AR13A,Valide,1,novote,novote,novote,1,novote,2,novote,novote,1,4,3,1,0,0,6
22756,U13-032,2022AR13A,Valide,2,2,3,3,1,2,1,1,1,novote,9,4,3,2,0,1
22760,U13-032,2022AR13A,Valide,3,1,1,2,4,1,4,1,4,3,10,4,1,2,3,0
22799,U13-032,2022AR13A,Valide,2,2,1,3,2,3,4,2,2,2,10,1,6,2,1,0
22809,U13-051,2022AR13B,Valide,1,novote,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,6
22826,U13-021,2022AR13A,Valide,novote,novote,novote,1,novote,1,1,novote,1,novote,4,4,0,0,0,6
22834,U13-081,2022AR13A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
22875,U13-032,2022AR13A,Valide,2,2,2,3,1,2,1,2,1,1,10,4,5,1,0,0
